movie,fullTitle,animatedRelease,animatedRuntime,liveRelease,liveRuntime
Aladdin,Aladdin,1992,5400,2019,7680
Beauty,Beauty and the Beast,1991,5040,2017,7740
Brave,Brave,2012,5580,,
Cinderella,Cinderella,1950,4440,2015,6360
Frog,The Princess and the Frog,2009,5820,,
Mermaid,The little Mermaid,1989,4980,,
Moana,Moana,2016,6420,,
Mulan,Mulan,1998,5220,2020,9300
Pocahontas,Pocahontas,1995,4860,,
Sleeping,Sleeping Beauty,1959,4500,,
Snow,Snow White and the Seven Dwarfs,1938,4980,,
Tangled,Tangled,2011,6000,,
